"A编号","最小标签","图片文件名","提示词文件名"
"A136","上衣+短裙","A136-上衣+短裙.png","A136-上衣+短裙.txt"
"A142","上衣+长裤","A142-上衣+长裤.png","A142-上衣+长裤.txt"
"A089","上衣+短裤","A089-上衣+短裤.png","A089-上衣+短裤.txt"
"A196","时装穿搭","A196-时装穿搭.png","A196-时装穿搭.txt"
"A158","时装穿搭","A158-时装穿搭.png","A158-时装穿搭.txt"
"A079","衬衫+下装","A079-衬衫+下装.png","A079-衬衫+下装.txt"
"A173","上衣+短裤","A173-上衣+短裤.png","A173-上衣+短裤.txt"
"A043","衬衫+下装","A043-衬衫+下装.png","A043-衬衫+下装.txt"
"A021","上衣+长裤","A021-上衣+长裤.png","A021-上衣+长裤.txt"
"A138","时装穿搭","A138-时装穿搭.png","A138-时装穿搭.txt"
"A178","上衣+短裤","A178-上衣+短裤.png","A178-上衣+短裤.txt"
"A122","上衣+长裤","A122-上衣+长裤.png","A122-上衣+长裤.txt"
"A197","上衣+短裤","A197-上衣+短裤.png","A197-上衣+短裤.txt"
"A105","上衣+短裤","A105-上衣+短裤.png","A105-上衣+短裤.txt"
"A170","上衣+长裤","A170-上衣+长裤.png","A170-上衣+长裤.txt"
"A065","时装穿搭","A065-时装穿搭.png","A065-时装穿搭.txt"
"A075","上衣+长裤","A075-上衣+长裤.png","A075-上衣+长裤.txt"
"A004","上衣+长裤","A004-上衣+长裤.png","A004-上衣+长裤.txt"
"A099","上衣+长裤","A099-上衣+长裤.png","A099-上衣+长裤.txt"
"A054","连衣裙","A054-连衣裙.png","A054-连衣裙.txt"
"A064","时装穿搭","A064-时装穿搭.png","A064-时装穿搭.txt"
"A093","上衣+短裤","A093-上衣+短裤.png","A093-上衣+短裤.txt"
"A182","时装穿搭","A182-时装穿搭.png","A182-时装穿搭.txt"
"A028","上衣+短裤","A028-上衣+短裤.png","A028-上衣+短裤.txt"
"A181","时装穿搭","A181-时装穿搭.png","A181-时装穿搭.txt"
"A092","上衣+长裤","A092-上衣+长裤.png","A092-上衣+长裤.txt"
"A038","上衣+短裤","A038-上衣+短裤.png","A038-上衣+短裤.txt"
"A033","连体短裤","A033-连体短裤.png","A033-连体短裤.txt"
"A148","上衣+短裤","A148-上衣+短裤.png","A148-上衣+短裤.txt"
"A006","衬衫+下装","A006-衬衫+下装.png","A006-衬衫+下装.txt"
"A076","上衣+长裤","A076-上衣+长裤.png","A076-上衣+长裤.txt"
"A029","上衣+短裤","A029-上衣+短裤.png","A029-上衣+短裤.txt"
"A077","时装穿搭","A077-时装穿搭.png","A077-时装穿搭.txt"
"A166","上衣+短裙","A166-上衣+短裙.png","A166-上衣+短裙.txt"
"A005","时装穿搭","A005-时装穿搭.png","A005-时装穿搭.txt"
"A078","上衣+短裤","A078-上衣+短裤.png","A078-上衣+短裤.txt"
"A052","上衣+短裤","A052-上衣+短裤.png","A052-上衣+短裤.txt"
"A036","上衣+短裤","A036-上衣+短裤.png","A036-上衣+短裤.txt"
"A128","上衣+长裤","A128-上衣+长裤.png","A128-上衣+长裤.txt"
"A088","衬衫+下装","A088-衬衫+下装.png","A088-衬衫+下装.txt"
"A082","上衣+长裤","A082-上衣+长裤.png","A082-上衣+长裤.txt"
"A018","连衣裙","A018-连衣裙.png","A018-连衣裙.txt"
"A014","上衣+长裤","A014-上衣+长裤.png","A014-上衣+长裤.txt"
"A069","连衣裙","A069-连衣裙.png","A069-连衣裙.txt"
"A202","上衣+短裤","A202-上衣+短裤.png","A202-上衣+短裤.txt"
"A129","上衣+短裤","A129-上衣+短裤.png","A129-上衣+短裤.txt"
"A010","连体短裤","A010-连体短裤.png","A010-连体短裤.txt"
"A042","上衣+短裤","A042-上衣+短裤.png","A042-上衣+短裤.txt"
"A009","连体短裤","A009-连体短裤.png","A009-连体短裤.txt"
"A113","时装穿搭","A113-时装穿搭.png","A113-时装穿搭.txt"
