"A编号","最小标签","图片文件名","提示词文件名"
"A033","连体短裤","A033-连体短裤.png","A033-连体短裤.txt"
"A097","上衣+长裤","A097-上衣+长裤.png","A097-上衣+长裤.txt"
"A172","衬衫+下装","A172-衬衫+下装.png","A172-衬衫+下装.txt"
"A087","上衣+长裤","A087-上衣+长裤.png","A087-上衣+长裤.txt"
"A110","衬衫+下装","A110-衬衫+下装.png","A110-衬衫+下装.txt"
"A061","上衣+短裤","A061-上衣+短裤.png","A061-上衣+短裤.txt"
"A006","衬衫+下装","A006-衬衫+下装.png","A006-衬衫+下装.txt"
"A157","时装穿搭","A157-时装穿搭.png","A157-时装穿搭.txt"
"A050","上衣+长裤","A050-上衣+长裤.png","A050-上衣+长裤.txt"
"A092","上衣+长裤","A092-上衣+长裤.png","A092-上衣+长裤.txt"
"A163","上衣+长裤","A163-上衣+长裤.png","A163-上衣+长裤.txt"
"A114","上衣+长裤","A114-上衣+长裤.png","A114-上衣+长裤.txt"
"A108","上衣+长裤","A108-上衣+长裤.png","A108-上衣+长裤.txt"
"A101","时装穿搭","A101-时装穿搭.png","A101-时装穿搭.txt"
"A037","上衣+短裤","A037-上衣+短裤.png","A037-上衣+短裤.txt"
"A140","连体短裤","A140-连体短裤.png","A140-连体短裤.txt"
"A146","衬衫+下装","A146-衬衫+下装.png","A146-衬衫+下装.txt"
"A076","上衣+长裤","A076-上衣+长裤.png","A076-上衣+长裤.txt"
"A165","时装穿搭","A165-时装穿搭.png","A165-时装穿搭.txt"
"A131","时装穿搭","A131-时装穿搭.png","A131-时装穿搭.txt"
"A067","上衣+长裤","A067-上衣+长裤.png","A067-上衣+长裤.txt"
"A147","时装穿搭","A147-时装穿搭.png","A147-时装穿搭.txt"
"A005","时装穿搭","A005-时装穿搭.png","A005-时装穿搭.txt"
"A161","上衣+长裤","A161-上衣+长裤.png","A161-上衣+长裤.txt"
"A074","时装穿搭","A074-时装穿搭.png","A074-时装穿搭.txt"
"A179","连衣裙","A179-连衣裙.png","A179-连衣裙.txt"
"A102","上衣+长裤","A102-上衣+长裤.png","A102-上衣+长裤.txt"
"A153","时装穿搭","A153-时装穿搭.png","A153-时装穿搭.txt"
"A032","连衣裙","A032-连衣裙.png","A032-连衣裙.txt"
"A001","连体短裤","A001-连体短裤.png","A001-连体短裤.txt"
"A135","连体短裤","A135-连体短裤.png","A135-连体短裤.txt"
"A049","上衣+短裤","A049-上衣+短裤.png","A049-上衣+短裤.txt"
"A028","上衣+短裤","A028-上衣+短裤.png","A028-上衣+短裤.txt"
"A127","上衣+短裤","A127-上衣+短裤.png","A127-上衣+短裤.txt"
"A183","上衣+长裤","A183-上衣+长裤.png","A183-上衣+长裤.txt"
"A026","上衣+短裤","A026-上衣+短裤.png","A026-上衣+短裤.txt"
"A149","连衣裙","A149-连衣裙.png","A149-连衣裙.txt"
"A182","时装穿搭","A182-时装穿搭.png","A182-时装穿搭.txt"
"A038","上衣+短裤","A038-上衣+短裤.png","A038-上衣+短裤.txt"
"A079","衬衫+下装","A079-衬衫+下装.png","A079-衬衫+下装.txt"
"A065","时装穿搭","A065-时装穿搭.png","A065-时装穿搭.txt"
"A197","上衣+短裤","A197-上衣+短裤.png","A197-上衣+短裤.txt"
"A016","时装穿搭","A016-时装穿搭.png","A016-时装穿搭.txt"
"A180","上衣+长裤","A180-上衣+长裤.png","A180-上衣+长裤.txt"
"A046","上衣+短裤","A046-上衣+短裤.png","A046-上衣+短裤.txt"
"A112","上衣+短裤","A112-上衣+短裤.png","A112-上衣+短裤.txt"
"A008","连体短裤","A008-连体短裤.png","A008-连体短裤.txt"
"A055","上衣+短裙","A055-上衣+短裙.png","A055-上衣+短裙.txt"
"A159","衬衫+短裤","A159-衬衫+短裤.png","A159-衬衫+短裤.txt"
"A118","时装穿搭","A118-时装穿搭.png","A118-时装穿搭.txt"
